18764 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【純淨之心】 | 哥倫比亞/印尼 | NT369
18763 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【驕陽榮耀】 | 瓜地馬拉/肯亞 | NT349
18762 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【溫暖懷抱】 | 瓜地馬拉/哥斯大黎加 | NT349
18761 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【輕盈跳躍】 | 衣索比亞/新幾內亞 | NT399
18760 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【舒適之地】 | 哥倫比亞/哥斯大黎加 | NT349
18759 | 咖啡豆 | CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選十二星座配方咖啡豆【熱情晨曦】 | 衣索比亞/瓜地馬拉 | NT399
18380 | 咖啡豆 | CoFeel 凱飛薇薇特南果咖啡豆-中烘焙(227gx2包) | 瓜地馬拉 | NT698
18379 | 咖啡豆 | CoFeel 凱飛薇薇特南果咖啡豆-中烘焙(227g/包) | 瓜地馬拉 | NT399
18378 | 咖啡豆 | CoFeel 凱飛特調酒香花神咖啡豆-中烘焙(227gx2包) | 衣索比亞+瓜地馬拉 | NT799
18377 | 咖啡豆 | CoFeel 凱飛特調酒香花神咖啡豆-中烘焙(227g/包) | 衣索比亞+瓜地馬拉 | NT449
18278 | 禮盒/體驗 | CoFeel 凱飛鮮烘豆極品咖啡豆氣閥式豆罐裝半磅+百年老店泉發蜂蜜50g(啡嚐親蜜禮盒/咖啡禮盒/蜂蜜禮盒) | 衣索比亞 | NT1688
18276 | 禮盒/體驗 | CoFeel 凱飛鮮烘豆馬拉威厭氧酒香藝妓極品咖啡豆氣閥式豆罐裝半磅+百年老店泉發蜂蜜50g(啡嚐親蜜禮盒/咖啡禮盒/蜂蜜禮盒) | 馬拉威 | NT1888
18262 | 器具配件 | CoFeel 凱飛輕薄柔軟矽藻土防滑快乾吸水墊40x30cm 6入(珪藻土/瀝水墊/餐墊) | 中國 | NT999
18261 | 器具配件 | CoFeel 凱飛輕薄柔軟矽藻土防滑快乾吸水墊40x30cm 2入(珪藻土/瀝水墊/餐墊) | 中國 | NT399
18260 | 器具配件 | CoFeel 凱飛輕薄柔軟矽藻土防滑快乾吸水墊40x30cm(珪藻土/瀝水墊/餐墊) | 中國 | NT239
18191 | 生豆 | (生豆)E7HomeCafe一起烘咖啡 AI智能挑豆哥斯大黎加征服者水洗單品咖啡生豆1公斤 | 哥斯大黎加 | NT1080
18190 | 生豆 | (生豆)E7HomeCafe一起烘咖啡 AI智能挑豆哥斯大黎加征服者水洗單品咖啡生豆500克 | 哥斯大黎加 | NT569
18185 | 生豆 | (生豆)E7HomeCafe一起烘咖啡 AI智能挑豆衣索比亞耶加雪菲日曬一級單品咖啡生豆1公斤 | 衣索比亞 | NT1230
18184 | 生豆 | (生豆)E7HomeCafe一起烘咖啡 AI智能挑豆衣索比亞耶加雪菲日曬一級單品咖啡生豆500克 | 衣索比亞 | NT649
