id,title,description,link,image_link,availability,price,brand,condition,identifier_exists,google_product_category
19410,CoFeel 凱飛鮮烘豆衣索比亞 BABY GEISHA 藝伎咖啡豆一磅(227gx2袋),CoFeel 凱飛鮮烘豆衣索比亞 BABY GEISHA 藝伎咖啡豆一磅(227gx2袋)。產地：衣索比亞、處理法：日曬處理法、烘焙度：淺中焙、風味：橙花、蜂蜜、野莓、萊姆。CoFeel 凱飛鮮烘豆，SCA認證職人接單鮮烘，1克1元起秤重計價。,https://www.cofeel.com.tw/products/19410.html,https://thelife6.wztech.com.tw/Upload/ProductImage/2026010210080487.jpg,in stock,1149 TWD,CoFeel 凱飛鮮烘豆,new,no,"Food, Beverages & Tobacco > Beverages > Coffee & Tea > Coffee"
19409,CoFeel 凱飛鮮烘豆衣索比亞 BABY GEISHA 藝伎咖啡豆半磅(227g/袋),CoFeel 凱飛鮮烘豆衣索比亞 BABY GEISHA 藝伎咖啡豆半磅(227g/袋)。產地：衣索比亞、處理法：日曬處理法、烘焙度：淺中焙、風味：橙花、蜂蜜、野莓、萊姆。CoFeel 凱飛鮮烘豆，SCA認證職人接單鮮烘，1克1元起秤重計價。,https://www.cofeel.com.tw/products/19409.html,https://thelife6.wztech.com.tw/Upload/ProductImage/2026010209575320.jpg,in stock,599 TWD,CoFeel 凱飛鮮烘豆,new,no,"Food, Beverages & Tobacco > Beverages > Coffee & Tea > Coffee"
19500,CoFeel 凱飛鮮烘豆哥斯大黎加奇里波紅蜜處理咖啡豆一磅(227gx2袋),CoFeel 凱飛鮮烘豆哥斯大黎加奇里波紅蜜處理咖啡豆一磅(227gx2袋)。產地：哥斯大黎加、處理法：紅蜜處理、烘焙度：中焙、風味：紅蘋果、蜂蜜、巧克力、滑順質地。CoFeel 凱飛鮮烘豆，SCA認證職人接單鮮烘，1克1元起秤重計價。,https://www.cofeel.com.tw/products/19500.html,https://thelife6.wztech.com.tw/Upload/ProductImage/2026032711301893.jpg,in stock,899 TWD,CoFeel 凱飛鮮烘豆,new,no,"Food, Beverages & Tobacco > Beverages > Coffee & Tea > Coffee"
19348,CoFeel 凱飛鮮烘豆衣索比亞古吉G1水仙蜜處理咖啡豆一磅-淺中烘焙(227gx2袋),CoFeel 凱飛鮮烘豆衣索比亞古吉G1水仙蜜處理咖啡豆一磅-淺中烘焙(227gx2袋)。產地：衣索比亞、處理法：蜜處理法、烘焙度：淺中焙、風味：水蜜桃、荔枝、茉莉、龍眼花蜜。CoFeel 凱飛鮮烘豆，SCA認證職人接單鮮烘，1克1元起秤重計價。,https://www.cofeel.com.tw/products/19348.html,https://thelife6.wztech.com.tw/Upload/ProductImage/2025092415530532.jpg,in stock,1299 TWD,CoFeel 凱飛鮮烘豆,new,no,"Food, Beverages & Tobacco > Beverages > Coffee & Tea > Coffee"
19408,CoFeel 凱飛鮮烘豆印度賴比瑞亞咖啡豆一磅(227gx2袋),CoFeel 凱飛鮮烘豆印度賴比瑞亞咖啡豆一磅(227gx2袋)。產地：印度、處理法：日曬處理法、烘焙度：淺中焙、風味：榴槤、雪松草本、巧克力、菠蘿蜜。CoFeel 凱飛鮮烘豆，SCA認證職人接單鮮烘，1克1元起秤重計價。,https://www.cofeel.com.tw/products/19408.html,https://thelife6.wztech.com.tw/Upload/ProductImage/2025121717500708.jpg,in stock,1299 TWD,CoFeel 凱飛鮮烘豆,new,no,"Food, Beverages & Tobacco > Beverages > Coffee & Tea > Coffee"
18380,CoFeel 凱飛薇薇特南果咖啡豆-中烘焙(227gx2包),CoFeel 凱飛薇薇特南果咖啡豆-中烘焙(227gx2包)。產地：瓜地馬拉、處理法：水洗處理法、烘焙度：中焙、風味：可可、黑櫻桃、奶油、核果。CoFeel 凱飛鮮烘豆，SCA認證職人接單鮮烘，1克1元起秤重計價。,https://www.cofeel.com.tw/products/18380.html,https://thelife6.wztech.com.tw/Upload/ProductImage/2023111010152276.jpg,in stock,698 TWD,CoFeel 凱飛鮮烘豆,new,no,"Food, Beverages & Tobacco > Beverages > Coffee & Tea > Coffee"
19432,CoFeel 凱飛鮮烘豆宏都拉斯帕萊伊內瑪 Parainema 蜜處理咖啡豆一磅(227gx2袋),CoFeel 凱飛鮮烘豆宏都拉斯帕萊伊內瑪 Parainema 蜜處理咖啡豆一磅(227gx2袋)。產地：宏都拉斯、處理法：蜜處理、烘焙度：淺中焙、風味：果香、葡萄乾、黑糖、蜜茶。CoFeel 凱飛鮮烘豆，SCA認證職人接單鮮烘，1克1元起秤重計價。,https://www.cofeel.com.tw/products/19432.html,https://thelife6.wztech.com.tw/Upload/ProductImage/2026020214250963.jpg,in stock,899 TWD,CoFeel 凱飛鮮烘豆,new,no,"Food, Beverages & Tobacco > Beverages > Coffee & Tea > Coffee"
18835,CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選特調咖啡豆(227gx2袋),CoFeel 凱飛火山噴泉鮮烘咖啡豆-Ai嚴選特調咖啡豆(227gx2袋)。產地：哥倫比亞/巴西/衣索比亞、處理法：日曬處理法、烘焙度：中焙、風味：青蘋果、蜂蜜、黑巧克力、焦糖。CoFeel 凱飛鮮烘豆，SCA認證職人接單鮮烘，1克1元起秤重計價。,https://www.cofeel.com.tw/products/18835.html,https://thelife6.wztech.com.tw/Upload/ProductImage/2024090210411684.jpg,in stock,788 TWD,CoFeel 凱飛鮮烘豆,new,no,"Food, Beverages & Tobacco > Beverages > Coffee & Tea > Coffee"
19005,CoFeeL凱飛 鮮烘品味世界濾掛咖啡/耳掛咖啡包10g(5種風味x20包),CoFeeL凱飛 鮮烘品味世界濾掛咖啡/耳掛咖啡包10g(5種風味x20包)。產地：衣索比亞、烘焙度：淺焙、風味：柑橘、橘子皮、花香、甜度高。CoFeel 凱飛鮮烘豆，SCA認證職人接單鮮烘，1克1元起秤重計價。,https://www.cofeel.com.tw/products/19005.html,https://thelife6.wztech.com.tw/Upload/ProductImage/2024111210442584.jpg,in stock,499 TWD,CoFeel 凱飛鮮烘豆,new,no,"Food, Beverages & Tobacco > Beverages > Coffee & Tea > Coffee"
18957,CoFeeL凱飛現烘啡享濾掛系列-衣索柑橘耳掛20包,CoFeeL凱飛現烘啡享濾掛系列-衣索柑橘耳掛20包。產地：衣索比亞、處理法：水洗處理法、烘焙度：中焙、風味：小紅莓、梨子、梅子綠茶、杏仁、烤焦糖。CoFeel 凱飛鮮烘豆，SCA認證職人接單鮮烘，1克1元起秤重計價。,https://www.cofeel.com.tw/products/18957.html,https://thelife6.wztech.com.tw/Upload/ProductImage/2024102115070987.jpg,in stock,449 TWD,CoFeel 凱飛鮮烘豆,new,no,"Food, Beverages & Tobacco > Beverages > Coffee & Tea > Coffee"
